Meadow,Site,VegetativeSpecies,Cowfeces,Bareground,Rock,Bryophytes,Litter,elevation,PhenologySpeciesAverage,PhenologyTotalFlowers,PhenologySpecies,PhenologyInsects2,PhenologyEffort,PhenologyAchilleamillefolium,PhenologyCampanulasp,PhenologyCrepisHieraciumLeontodon,PhenologyGaliumverum,PhenologyHelianthemumnummularium,PhenologyKnautiaScabiosa,PhenologyLeucanthemumvulgare,PhenologyLotuscorniculatus,PhenologyPlantagolanceolata,PhenologyPlantagomedia,PhenologyPrunellasp,PhenologyRanunculussp,PhenologySilenevulgaris,PhenologyThymussp,PhenologyTrifoliummontana,PhenologyTrifoliumpratense,PhenologyCentaureasp,PhenologyHieraciumpilosella,PhenologyPotentillaerecta,PhenologyEuphrasiasp,PhenologyHypericumsp,PhenologyMedicagolupulina,PhenologyPotentillasp,PhenologyTrifoliumrepens,PhenologyArabisArabidopsis,PhenologyCerastiumsp,PhenologyCirsiumacaule,PhenologyTeucriumchamaedris,PhenologyArenariaLinumym,PhenologyAsperulacynanchica,PhenologyCarumcarvi,PhenologyClinopodiumvulgare,PhenologyCampanulaglomerata,PhenologyCarlinaacaulis,PhenologyDaucuscarota,PhenologyEchiumvulgare,PhenologyGaliumsp,PhenologyHippocrepiscomosa,PhenologyLathyruspratensis,PhenologyOnonisspinosa,PhenologySalviapratensis,PhenologyBellisperennis,PhenologyPeucedanumsp,PhenologyPimpinellasp,PhenologyOrchisustulata,PhenologyAcinosalpinus,PhenologyAnthyllisvulneraria,PhenologyMedicagosativa,PhenologyTeuriummontanum,PhenologyAgrimoniaeupatoria,PhenologyCrepisHieracium,PhenologyPolygalacomosa,PhenologyVeronicaspicata,PhenologyTaraxacumsp,PhenologyVeronicachamaedris,PhenologyBuphthalmumsalicifolium,PhenologyCirsiumarvense,PhenologyGeraniumsp,PhenologyViciacracca,PhenologyAlchemillasp,PhenologyCarduusdefloratus,PhenologyEuphorbiacyparissias,PhenologyGlobularianudicaulis,PhenologyLotusmaritimus,PhenologyPolygonumaviculare,PhenologyRosasp,PhenologyRubussp,PhenologySedumalbum,PhenologyStachysofficinalis,PhenologyAjugareptans,PhenologyAnthericumramosum,PhenologyFragariasp,PhenologyPhyteumaorbiculare,PhenologyPolygalaalpestris,PhenologySanguisorbaminor,PhenologyUrticadioica,PhenologyVeronicateucrium,PhenologyApiaceaesp,PhenologyBistortavivipara,PhenologyCarduusnutans,PhenologyGentianaverna,PhenologyGeraniumsylvaticum,PhenologyGeraniumpusillum,PhenologyPolygalavulgaris,PhenologyViciasepium,PhenologyViolasp,PhenologyAlliumcarinatum,PhenologyCarlinavulgaris,PhenologyGymnadeniaconopsea,PhenologySilenenutans,PhenologySolanumdulgamara,PhenologyTrifoliumcampestre,PhenologyVeronicaofficinalis,PhenologyVincetoxicumhirundinaria,PhenologyAegopodiumpodagraria,PhenologyAsteramellus,PhenologyDianthussp,PhenologyLigustrumvulgare,PhenologyMyosotessp,PhenologySedumspyellow,PhenologyThesiumsp,PhenologyTrolleiseuropaeus,PhenologyChenopodiumsp,PhenologyCichoriumintybus,PhenologyGentianasp,PhenologyMelampyrumsylvaticum,PhenologyNeottiaovata,PhenologyOdontitesluteus,PhenologyParnassiapalustris,PhenologyPastinacasativa,PhenologyAtrobabelladonna,PhenologyCephalantheralongifolia,PhenologyLamiumalbum,PhenologyMedicagominima,PhenologyOriganumvulgare,PhenologyPlantagomajor,PhenologyPulsatillasp,PhenologyRhinanthusminor,PhenologyRumexsp,PhenologyStachysrecta,PhenologyTragopodonpratensis,PhenologyVerbenaofficinalis,PhenologyVeronicasp,PhenologyAnacamptispyramidalis,PhenologyAsterbellidiastrum,PhenologyCentauriumsp,PhenologyCoeglossumviride,PhenologyConyzasp,PhenologyCrepissp,PhenologyCuscutaeuropaeae,PhenologyEpilobiumsp,PhenologyGeraniumsanguineum?,PhenologyOnobrychisvicifolia,PhenologyOrchismascula,PhenologyPlatantherachlorantha,PhenologyResedalutea,PhenologySaponariaocymoides?,PhenologySilenedioica,PhenologyValeriana,PhenologyAconitumnapellus,PhenologyAconitumanthora,PhenologyAjugapyramidalis,PhenologyAnemonenarcissiflora,PhenologyArnicamontana,PhenologyCapsellabursa-pastoris,PhenologyConvolvulusarvensis,PhenologyCrepissp2,PhenologyGlobulariacardiflora,PhenologyLathyrussp,PhenologyMaianthemumbifolium,PhenologyMalvaneglecta,PhenologyMycelismuralis,PhenologyOphrusapifera,PhenologyOphrusinsectifera,PhenologyPlantherabifolia,PhenologyPrimulaveris,PhenologySambucussp,PhenologySeneciosp,PhenologySisymbriumofficinale,PhenologySolidagovirgaurea,PhenologySpiranthesspiralis,PhenologyTrifoliumbadium,PhenologyVacciniumvitis-idaea
a,1,61,0.4,6,0,0,29.5,1020.6,208.318996,214.6881628,210.1303258,211.460084,206.106383,218.2417582,215.8695652,223.3142857,216.9545455,215.5584416,222.6543909,210.5454545,193.4555556,202.6708543,203.8732394,214.1062802,207.1428571,217.025,214.8009479,200.3101266,207.8970588,228.1591131,187.4516129,226.75,225.4372624,208.0377358,196.1838235,199.3,210.2443439,188.5909091,191.3636364,221.8344371,213.4754098,203.5,209.352,199.9243243,221.4537815,212.4047786,234.7142857,216.6525424,211.45,227,,194.2,219.9090909,202.3429603,165.826087,205.2197802,215.3440367,192.3333333,206.5804989,205,212.611399,204.7333333,212.9230769,226.08,182.3015873,227.7567568,190,,196.1428571,,190,,,,164,,187.5,241,176.9569892,,,214,,,,,,,,,,,223,170.8333333,,202.5333333,,235,,,232.2916667,,,,205,,,,,,,,,,,,,,,,,,216.8902439,,,,197,,,,,,,,,,,,,,241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,2,50,0.55,3.8,0,0,37.3,984.9,206.0440339,212.4844496,208.4901961,212.0940919,207.3833333,218.5180723,228.0769231,219.5953307,218.8027211,213.7398964,220.8651685,211.4615385,183.971564,197.9951456,201.372549,211.7297297,202.9279279,217.0987654,209.008,195.3606557,205.6545455,226.1832612,,219.4946619,227.841169,212.5,197.5454545,,183,181.5714286,,227,213.5813953,201.6528926,201.5612245,220,198,216.0641822,240,221.8309859,218.8333333,,190,188.8333333,219.2650602,209.1649485,,212.5795455,221.3777778,183.6666667,,,214.2727273,197.5,221.4705882,,208.2727273,,,,227,,,,,,,,179.3289474,,179,183,,,,228.5,,,,184.8571429,,,,,,186.6923077,,,211,,,,234,,,,,,183,,,,179.5217391,,,175,,,,,,,,237.5,,,,,,,183,,,,,,,,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183,,,,,,,,
a,3,65,0.45,5.2,0.3,0,36.7,949.8,204.8183992,212.6857267,208.7135678,211.7237687,202.2083333,213.7218045,218.2467532,227.7656033,210.0538462,214.8837209,218.984375,206.4230769,196.8548387,201.1629861,202.0229008,214.1,202.4864865,215.1212121,206.037594,198.1875,199.8041237,224.6451154,176.4285714,212.0961538,223.8830189,214.4615385,211,195.25,198.6237624,192.4634146,175,222.8448276,210.0336134,202.751663,212.8114754,199.96,221.9362214,212.7263158,238,217.9428571,206.1754386,209.5918367,177,194.8125,211.7454545,199.4644351,,208.1025641,217,193,225.877193,,209.3986014,195.5,212.6829268,,,220.0222222,190,,212.9324324,,,204.1153846,,,,176.3333333,175.3636364,238,178.0070922,186.9473684,214.8235294,216.7857143,,235.75,,,,,175,179,179,,,,,193.4,,,,,,,,199,,,,,,,179,,200.2857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,4,55,3.15,11.2,0.15,0,33.2,1002.8,204.2603634,209.7605437,208.3753351,211.7105263,203.9090909,215.9145244,225.1666667,226.5028153,207.7815913,207.3172414,216.6496674,216.625,191.9664804,206.3403141,201.0964467,214.2755906,197.5,200.9586777,209.1673324,202.079096,209.3065134,225.7592629,192.6,223.8914405,225.6271186,200.6666667,219.8287293,188.5185185,209.7894737,178.875,179,222.4736842,209.9333333,194.8333333,195.5490196,189.6153846,217.8644068,209.9917582,236.3870968,221.3928571,,201,,206.6666667,221.6710526,200.6004367,168,198,217.0178571,197.75,,191,210.7032967,,221.0485175,201,209.375,223.8092486,,168,,219.75,228,219.2631579,,,,,,240,179,179.3870968,205.1,205.0666667,,,,,,,180,168.4230769,,,227.1071429,169.4285714,,205,168,,,212.1333333,,,,,,,168,,,,,,199.2,,,,,,228,,,234,,,,,,,,,168,,,,,179,,,198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a,5,61,3.6,6.6,1.1,1.2,20.4,1001,203.1352879,211.7832013,208.1075949,211.3347639,200.6538462,218.6576025,212.9871383,224.2319613,210.4787234,198.5281899,220.5853659,209.9859155,196.8712871,197.6647532,200.2916292,217.9556962,201.0909091,206.6346154,203.1818182,199.5447761,207.0636364,224.6532886,175.6981132,217.975,223.0645161,208.1538462,196.0526316,201.3170732,215.5353535,201.1621622,208.8333333,218.9302326,206.2535211,194.0294118,189.7417582,193.6862745,220.4642857,205.7439024,235,217.0928571,209.74122,216.4444444,179,200,219.75,192.2599119,177,191,212.0987654,189.2,196.4810127,175,220.6136364,188.2352941,220.8823529,195.4666667,179,219.4814815,,203.4794521,,,216,232.8,,,175,,175,232,179,187.5961538,212.0869565,198.7021277,,,,,175,,195.3333333,,219.8,,233.8571429,179.4876033,,,203.6724138,194.3333333,,,,,,193.3333333,204,,190.5652174,,,,179,,196.3207547,,,,,,,,,232.7807018,,193,,,,,,,,,,,,,,,208.1428571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.6,,,,,,
a,6,59,2.5,10.8,0,0,18.7,981.9,205.8541927,207.4785596,210.0598291,210.2117647,201.0727273,212.9459085,209.6190476,228.4723926,209.0353982,203.6650718,213.6981132,217.875,197.5521886,201.677449,201.4452191,210.2592593,191.0979021,202.8888889,205.3170732,194.9827044,200.2099125,221.8491224,177.9937107,219.3846154,223.9806452,207.6551724,219.9375,164.7924528,217.2258065,166.2580645,,224.6842105,206.984127,224.25,201.9082569,,227,209.5681818,,214.6451613,213.0604651,,,,215.6494024,194.1651376,166.3333333,212.1204819,214.9473684,180.3636364,,,212.2424242,205.6842105,212.76,,169.6666667,223.2222222,,,222,,,,,,,179.4285714,,236.4,178,191,,209.7019868,,219,,,,,,178,,,,168.5833333,,,,191,,214.7380952,235,,,,,,,,,,,,,,,,,,,,237.617284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,,,
i,1,44,0.7,25.8,0,0,22.3,766.3,200.4097144,208.4326464,206.5444444,211.2889391,197.9230769,212.9178082,213.8899522,219.6226415,204.2545587,204.7427386,224.3333333,200.5681818,199,194.8979592,187.625,213.3429462,197.7692308,191.4722222,208.9677419,191.9473684,202.1504065,223.2486085,163,216,,,192.6666667,171.5454545,,163,209,,212.220339,,198.3759398,,222.8461538,217.4429825,,222.2849741,210,207.8333333,171.8,186,217.6923077,194.2736318,,217.3135985,215.7466667,176,,,211.7307692,191.6666667,213.7699784,,174.4918033,221.7671233,,239,204.7563025,202.3040936,197,215.2121212,,,221,166.5145631,164.0934579,,176,176.6774194,,197,,206.9783694,,,,187.0740741,197.1290323,203,,,199.8125,,,,,173.8333333,239,218,,,,,,,208.9117647,,237.6363636,,176,,,,,,,,,,239,,,176.3333333,,,,216.2941176,,,,,,,,,,,,,,,,,179.1,,,,,163,,,,,,,,,196.2097902,,,,,,,163,,,,,,,,,,
i,2,56,1.2,20.2,0,0,25.8,737.4,204.701796,205.5676512,208.3733333,208.7720588,199.65,212.9090909,212.922619,224.9444444,209.0511129,202.2352941,223.8961039,201.0783133,189.1313131,191.8910891,196.0795848,213.9469697,202.4939024,189,207.6505376,189.5457875,201.4534413,221.7413333,201.9107143,215.2248244,225.8205128,,,197,,175.5,178,222.4166667,213.75,208.9302326,198.3478261,163,,216.028169,234.1,219.6290323,205.1935484,215.6666667,169.2067669,,215.3586161,200.5799492,,218.6426906,214.4814815,190.2608696,,195.6438356,209.0918367,209.4848485,208.6976744,,163,218.03125,183.0909091,,203.3040936,,,,,,,184.2600834,170.5,,,,205.1428571,213.4086022,,208.7655748,,,,186.6363636,,,,,,163,,,,,,,232.1538462,,,,,,,,237.5302491,202.9788136,,,198.3333333,,,239,206.2857143,,,,234,237.5555556,,,,,,,,239,,,,,,,,,,,,,,,,,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,
i,3,45,0.05,18.6,0,0.05,10.5,711.5,201.4714393,214.3662346,206.5958084,210.9572301,200.147541,219.0649698,199.0676329,217.3831528,210.2761605,203.3206997,213.9461883,202.8235294,192.7651822,199.1807229,191.7071547,215.6036889,188.5220126,190.8039216,206.5279503,184.1544715,206.0121212,221.3290444,163.3333333,216.6666667,221.2148148,213.173913,221.9090909,161,203.08,167.875,184.2290406,,,177.9047619,203,167.8,229.3539823,210.1860465,,213.5433526,216.9333333,196,,193.25,214.7263682,184.2798054,164.4735812,230.25,216.3339783,,,186.125,210.3493151,,213.7280702,212.0965909,,216.5913978,168.5,170,,,203.3,208.5454545,,,,,,,176,,214,219.0769231,,,,,,,,,,,,,,195.3478261,,,,,,,,,226,,,,,,,,,,,239,204.2173913,,,,,,212.7948718,,,,,,,,,,217,,205.3333333,161,,,,,,,238.2173913,,,,,,,,,,,,,,,,,,,,,,,,,,161,,,,,,,
i,4,46,3.6,19.8,0,0.05,10.85,702.4,199.8604514,195.9101917,206.21875,209.6666667,210.2051282,211.9477943,197.3333333,216.2058824,206.8271605,202.575,218.7319588,186,199.4772727,196.1272727,200.0357143,208.4754098,181.2635659,196.1463415,212.6363636,177.4206642,213.8908451,215.4958753,162,203,,223.1666667,208.4181818,203,215.9528796,162,191.1594684,,214.0444444,167.4802372,186.5454545,192.4137931,224.8666667,221.7,,211.3114754,220.44,,,198.7619048,213.32,182.5902439,166.9926471,224.25,209.343966,,,194.8666667,207.0722892,,207.4117647,207.68,,218.7363636,181.1219512,,,,177,,,,,,,239,,,,,,,,,,162,,,,,211.7721519,,,176.5555556,,,,,,,,,198,,,,,205.8,,,,,,239,208.21875,,,,233,,,,,,,,,,,,,,217.2380952,162,,,,,,211.25,,,,185.5,,,,,,,,,,,,179.6363636,,,,,,177,,,,,,,186,162,,,,
i,5,51,1.2,31.2,0.2,0,9,684.5,203.8533776,205.7168518,208.0601852,211.3083004,198.3421053,208.7682318,204.673913,230.1345408,212.602118,205.2481203,218.3333333,186,193.254902,197.8991597,195.8855932,218.3955224,185.8431373,204.7692308,207.877551,188.8211679,206.4222222,219.5934868,186.9618321,207.2195122,223.0535714,203,214.90625,195.0952381,214.4568966,177.6140351,180.36,229.8,209.9464286,207.2207152,202.4533333,189.25,,220.2783019,234,214.2637363,216.1067616,209.5,169.2941176,,219.2533013,191.8227273,167.5068493,228.6623377,211.4545455,198.3333333,,194.0568182,212.5217391,205.2198953,216.7580175,212.0662252,162.7142857,210.9641434,196,,212.625,,190.3076923,,,,,173.0324074,162,,177,,201.8333333,212.2135922,,204.8185484,,,,,,,210,,221.4691358,,,186,240,,,,,,,,205.8235294,,,,235.2112676,210.3478261,,,179.9893617,,,,211.9166667,,,,,,,,,,162,,,,,203,,,199,,,,,,233.7777778,204,,,,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,,
i,6,58,1.5,33.8,0.7,0,21,702.2,202.7546866,203.6270095,206.9904077,211.7607223,196.84375,205.71875,210.6875,223.5178571,208.6119403,208.9413919,216.4768519,199.6726619,182.0723542,185.576324,192.5765306,212.3554502,189.6695652,195.8571429,201.9104478,192.6028881,205.8571429,220.5892323,169,195.4285714,231.4233129,189,,,177,199,191.5,221.3333333,207.7670455,,191.7241379,,209.3753666,210.5204678,237.7857143,211.6860465,211.3400447,211,173.8275862,201.0731707,215.1653992,196.0090634,,209.6939891,214.2913386,180.4285714,220.875,204.7692308,209.4615385,203.2247191,219.3986014,,171.3055556,222.785124,,,204.4460028,216,234,205.2312139,,,193,174.5180467,167.0163934,227,,184.0666667,,,,209.9530201,,,,189,,204,,,,,,,186.0810811,189,164,240,229.8461538,,,181.4444444,,,219.375,,232.872381,206.8787879,164,,,213.4651163,,,,,,,,,213.6979866,,,,,211.9357798,,229.25,,,218,,,,164,,,,,,,,168.3333333,,,,,,,211.8125,,,,,,,,,,,,,,,,,,,,,,,,
i,7,57,0.15,41.5,0.6,0.1,17.2,648.5,205.7563467,203.4629507,208.5694051,210.6687117,203.4166667,223.9,221.8113208,210.9069767,200.9642857,203.3783784,214.7445483,203.1062802,196.9222222,187.9478673,191.0581395,210.6724138,203.1688312,228.2307692,202.2564103,192.4727273,204.3,220.8113674,170.8713693,,226.3043478,218,201.6666667,178,240,197,,220.4,205.4814815,181.5384615,199.52,,239.1568627,215.5519031,233.8125,212.1914894,214.0574413,204,167.2926829,205,216.8263889,187.9351145,,205.8857143,217.0877193,178,204.5263158,,206.5428571,196.2142857,213.0322581,,170.5,205.5473684,,,206.4907975,214.5,163,237.3125,,,,177.9166667,170.9512195,240,,,,,,209.847348,,,,174.1666667,,,,,,,,,,,235.5,,232.1666667,,,240,,,163,,234.8375,203.2801724,,,,195.75,,240,,,,,,,240,,,,169.2539683,240,,204,,,199.375,,,,,,,,,,,,,,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,1,60,1.9,6.1,0,0,34,1390.3,200.6737891,200.0045949,206.3460208,210.9528536,201.9824561,224.2957746,211.5862069,224.8952669,224.4722222,176.6379928,220.9384615,190,185.66,203.6178862,203.9869392,214.7625,204.3649635,212.9315068,202.6796537,215.6481481,212.1315789,229.6947271,197.1794872,213.0384615,226.4602273,225.4186047,216.2857143,169,213.2380952,174.8412698,175.3571429,229.1370107,231,211.8395062,,203.5933504,215.7297297,231,238,225.1818182,208.950495,169,169,198.6818182,234.5,,170.1153846,205,,191,202.7435897,238,,200,,213,,,,169,,200,,225,172.5840708,224.3448276,169,,,,,199.6153846,,,169,,169,,172.5663717,,,183,194.6666667,176.8888889,,,169.6666667,,,,,,,,217.875,,,,,,,,,,,,,,,,,169,,,,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169,,,,,201.6666667,,,169,,,,,,,,,,,,,
n,2,55,2.1,4.6,0,0,33.8,1405.5,202.4869348,208.6831697,207.6981132,210.625,205.1,223.7702703,225.1847826,227.0322581,191.5725806,178.689441,223.1818182,170,191,207.8528864,213.2724458,214.4444444,209.8691983,198.7537538,203.744186,213.7068966,212.2848101,229.651341,187.0243902,208.5222222,227.129285,221.2777778,201.98,185.0588235,214.7222222,172.2669789,215.212766,232.8125,231,224.2,231,202.8181818,219.2238806,211.6666667,238,231,214.7283951,,170,199,,190.047619,172.4117647,199,,,197.6190476,,,,,199,,,184,170.4009901,,226.6086957,,225,186.443299,228.05,170,,,225,,,210.1686747,,170,,170,171.5454545,189,,204.0650407,183,191,183.6153846,,,191.7222222,,,192.6666667,,,,,213,,,,,209,,,,170,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.0915033,,183,,,,,,,,,,,,,,,,,,,,,,,,,
n,3,58,1.6,18.6,3,0.4,33.9,1407.7,201.386337,206.9412067,206.7383178,211,203.4444444,224.3892216,217.7391304,221.5298171,183.5510204,175.5868726,224.4255319,198.8,188.9895288,211.0984456,205.7806452,212.2142857,215.4450867,205.2033898,203.8095238,197.326087,210.6097561,231.4508475,183.0819672,219.576,223.6185567,213.0307692,210.2666667,204.4,214.7445255,173.3037383,201.9753086,225.6363636,219.4313725,208.5438596,205.6,204.6681271,229.3333333,,,,209.5820106,226.754717,177.1780822,,234.75,197.4534314,173.0606061,,207.1666667,,201.6635514,,,,,206,,,194.8571429,170.4313725,,223,,,185.5862069,219.6666667,,,,,,,198.9809524,,170,,170,170.6666667,170,,170,184,211,170,,,177.1666667,,,,,238,,,219.9760479,,,184,,,,,,170,,,170,,,238,,,,,,,,,,,,,,170,,214.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n,4,61,2.55,14,0,0.15,35.6,1420,207.1523108,208.3234093,209.0873494,211.019802,207.0188679,224.4222222,222.3663366,221.214842,172.7238095,180.9652856,216.7222222,204.1666667,193.1020408,202.9433962,208.0324675,215.9632881,212.8780488,201.4257426,203.3962264,214.8845471,209.4680851,229.3948156,186.8743961,214.0460829,224.0892857,228.2,195.1136364,221.3333333,213.8039216,190.875,227.1875,226.2365805,227.6153846,215.2797428,190.96,198.5787037,223.4467497,,238,231.9230769,208.3003413,,199,200.9333333,231.2258065,185.7869718,170.9354839,,,201.3333333,185.0833333,179.6666667,,221.92,,,,,,,213,,218.3214286,,185.7028986,224.4736842,,,,,,201.0229008,,,170,,,170,170,,214.2608696,,,,,,,238,,,238,,,170,238,193.6153846,,194.625,,212,,,,170,,,,,,238,208,,,,,204.7142857,,221.7692308,,,,,,,,,,,,,,,,,,202,,,,,,,,,,,,,,,,,,,,,211.8804348,,,,,,,,,,,
n,5,57,2.7,20.7,0.1,0,31.8,1398.6,203.8083323,208.780146,209.8788732,213.0947137,205.6779661,223.3333333,216,225.408046,225.7322835,184.9032663,223.6153846,201.8571429,184.6876972,205.6382253,204.8843931,217.1333333,212.1365639,184.2,204.8333333,205.4285714,204.084507,227.8164221,181.953271,221.0381232,227.1923077,227.4974874,203,216.4,216.5306122,179.0877193,202.6923077,224.4022556,231.5483871,184.8647687,201.7857143,202.8045977,226.3969466,,232,235,217.0556456,237.4285714,170,,229.2467532,176.744898,172.9444444,,,213,199.4681648,,,204.3714286,,208.8,170,,194.5,170.3564356,,224,,,184.0681818,215,,204.5348837,,,,,207.5289256,,170,,170,170,170,,,,,,225.8636364,170,,,,,,220,,170,222.862069,192,,,,,,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,213,,,,,199.75,170,,235,,,,,,,,,225.5555556,,,,,,,,,,,,,,,
o,3,49,0.1,3.1,0.1,0,28.4,1612.7,196.090684,197.3948144,204.5140845,209.8552036,214.1774194,220.36,196.1269841,215.9459459,173.7647059,187.5251241,203.5833333,188.8846154,195.189781,195.3758865,190.184466,210,197.7540984,201.4235294,197.1182266,195.9858657,211.3197279,233,176.6924883,203.5454545,228.0297533,207.9411765,206.025,238,209.7243995,,206,228.6842105,229.9230769,,,201.1578947,213.2083333,213,238,,,205.4166667,172,203.4210526,,,172,185,175.5,185,188.6134969,175.3214286,,,,179.7272727,,,,172,,228.4,,,202.2165899,201.8888889,172,,,,,,,,,,180.5789474,176.2857143,175.6153846,193,,,,175.125,,,174.8209366,,,,237.1666667,,,187.9622642,,,,197.7325581,,197.6428571,,,,,,205.9411765,172,,,,206,172,,,,,172,,,,,,,,,,,,,,,174.0434783,,,,,,,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,172,172
o,4,60,0,7.8,0,0,35.2,1576.2,197.6386863,202.975206,204.1453901,211.6318408,209.5211268,220.6363636,198.2364273,209.6111111,175.6694102,184.9205607,207.25,196,193.5664336,207.8253968,199.688755,209.3464052,204.7862595,184.6388889,195.497561,205.3529412,213.9219512,238,185.5514706,207.025641,220.28125,209.1428571,189.1578947,175.3333333,213.9615385,,200,226.8629962,233,206,200,207.4203822,224,192,237.5454545,,,232.75,172,210.7058824,,,198.0769231,,,,181.5227273,172,233,233,,189.6666667,,,185.6363636,172.6190476,,223,,,194.5705128,206.2719298,,,,,,,,,172,,176.8387097,172,181.2,172,,,,177.6086957,,,177.910828,,,,214.3333333,,,178.6,,,,199.5471698,,191.8461538,,,,,,202.05,197,,,,211.4444444,,,,,,172,,,,206,,,,,172,,,,172,,,,,,,,,172,,,,,,,,,,172,,,,,,,,,,172,,,,,,,,,
u,1,67,4,22,0.25,0,26.5,1745.8,196.8211218,200.7519656,207.864,219.6877076,220.0882353,208.5510204,198.3678161,208.4482759,178.3333333,194.1164725,211.1176471,194.1818182,197.6834022,192.0784314,199.0987654,213.9189189,198.0843373,195.227451,200.1864062,205.7666667,205.0298507,209.3333333,193.3296703,207.5,226.5070423,199.2170088,210.9487179,171,215.2827443,171,172.7890625,228.1666667,,185.6,,202.97463,,,239,,,211.5,171,198.8507463,,,203.6268657,,202.4794521,,192.0630631,172.375,,,,,171,,,,,,,239,198.5724466,216.1388889,171,171,,,,,,,171,,171,200,,,193,,171,197.1428571,,,191.7279412,,171,198.5806452,171,,,174.6666667,233,,,196.5,,,,,,176.5,,,171,,,239,,,,,,,,233,,,200,,221.7222222,194.75,,228.8,,,,171,,,,,,,,,,,,,193,,,,,171,,,,,,193,,,,,,,,,,,,,,
u,2,67,0,17.9,1.1,0.05,18.6,1749.2,201.104182,203.3265866,211.0843882,219.7755776,219.5,230.6015038,199.720339,222.320442,179.8,196.6357388,219.3921569,200.6785714,205.4411765,194.7258065,202.1935484,210.4159292,196.122449,205.1363636,205.3842365,200.8,206.2666667,,194.2641509,209.921875,227.8689655,205.1732283,207.7192982,171,215.92,,190.4285714,229.3011647,,,,203.3529412,,,238.2173913,,,206.8125,171,216.1851852,,,202.3333333,,,,198.598301,171.159204,,,,,,,171,173.1935484,,,,,200.8087318,226.4776119,171,,,,,,,,171,,184.9090909,207,,,,,,192.2419355,,,184.8823529,,171,,,,,171,,,226,204.2,,226.5,,,,172.6415094,,,172.8592233,,,214,,,,,,,,211,,,,,233,,,,,,,,,171,,,226,,,,,,,,,,226.3333333,220,,,,,,,,,,,,,,,,,,,,,,
